Page Category,Type,Likes,Comments,Views,Total Interactions,Overperforming Score
Portal Berita,IGTV,21.447611,4.242641,124.75175,21.863211,-0.14
Portal Berita,Photo,38.405729,9.643651,0,39.59798,-0.35
Official Page,Album,110.557677,21.307276,0,112.592184,-0.72
Portal Berita,Photo,18.193405,1.414214,0,18.248288,-0.81
Official Page,Photo,65.764732,7.615773,0,66.204229,-0.82
Official Page,Album,84.172442,8.124038,0,84.563586,-0.82
Official Page,Photo,57.749459,4.795832,0,57.948253,-1.25
Official Page,Photo,24.698178,2.828427,0,24.859606,-1.29
Official Page,Album,38.935845,3.316625,0,39.076847,-1.52
Official Page,IGTV,14.491377,3,70.12845,14.798649,-1.9
Official Page,IGTV,67.660919,22.715633,191.61681,71.372264,-2.77
Official Page,IGTV,13.601471,3.162278,58.06892,13.96424,-3.21
Official Page,IGTV,88.85944,10.246951,247.72162,89.448309,-3.69
Portal Berita,Album,23.790755,2,0,23.874673,-3.9
Official Page,Photo,16.217275,1,0,16.248077,-4.24
Official Page,IGTV,59.236813,21.447611,193.75758,63,-4.39
Portal Berita,Video,10.583005,0,50.47772,10.583005,-4.59
Official Page,Album,16.673332,1,0,16.703293,-4.76
Official Page,Album,16.552945,1.732051,0,16.643317,-4.9
Official Page,Photo,88.164619,17.944358,0,89.972218,-4.93
Official Page,Photo,14.662878,1,0,14.696938,-6.12
Official Page,Album,15.362291,3,0,15.652476,-7.43
Portal Berita,IGTV,84,1.414214,79.25276,9.273618,-7.77
