Account,User Name,Page Category,Content,Followers at Posting,Created,Type,Likes,Comments,Views,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Total Interactions,Overperforming Score (weighted  ?  Likes 1x Comments 1x )
Kompas.com,kompascom,Portal Berita,Merdeka Belajar,1417129,2020-09-30 09:28:06 EDT,Photo,268,0,0,https://www.instagram.com/p/CFwymH4DZVo/,https://www.instagram.com/p/CFwymH4DZVo/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/120371847_1358640804341234_4267409485274424934_n.jpg?_nc_cat=111&ccb=3&_nc_sid=8ae9d6&_nc_ohc=vFIg5ewz4AcAX-vNwBC&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=ab5458b11c9a7386f8fc87eee2154a0b&oe=60555785,,"Dalam mendukung kegiatan belajar online di masa pandemi, Telkomsel berinisiatif dengan berkolaborasi lintas sektor untuk menghadirkan layanan prima bagi masyarakat.

Telkomsel mengupayakan agar proses belajar jarak jauh menjadi lebih nyaman dengan tersedianya paket data terjangkau, serta berkolaborasi bersama penyedia layanan e-learning untuk akses platform belajar online.",KOMPAS.com TELKOMSEL Dukung Merdeka Belajar Jarak Jauh dengan Kolaborasi Lintas Sektor Telkomsel terus bergera maju mengupayakan upaya kolaboratif untuk memperluas akses pembelajarar jarak jauh bagi seluruh lapisar masyarakat Kolaborasi bersama pemerintah Menjaga standar QoS serta aspek teknis lainnya bersama Kemkominfountuk adirkan paket data terjangkau bagi menyediakan paket data erjangkau untuk berbagai tingkat pendidikan Madra?ah Kolaborasi bersama perusahaan dan startup Menggandeng para penyedia layanan -learning untuk akses platform belajar online yang lebih mudah,,,268,-10.31
Tribunnews.com,tribunnews,Portal Berita,Belajar Daring,1060179,2020-10-08 06:53:20 EDT,Photo,499,8,0,https://www.instagram.com/p/CGFHPlAhs4Q/,https://www.instagram.com/p/CGFHPlAhs4Q/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/120907291_116624083379270_7142842936896879222_n.jpg?_nc_cat=110&ccb=3&_nc_sid=8ae9d6&_nc_ohc=hpZ3l1WOM7EAX-Fw2Ai&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=2abf28c24995797aac2e3e869250d7d5&oe=60527635,,"Peringatan Hari Guru Sedunia 2020 mengangkat tema ?Guru: Memimpin dalam Krisis, Menata Kembali Masa Depan?. Tema tersebut selaras dengan tema internasional dari World Teachers? Day yang diusung pada tahun ini, yaitu ?Teachers: Leading in Crisis, Reimagining the Future?.

Penelitian UNESCO mengungkapkan, sebanyak 90 persen siswa di dunia terpaksa belajar dari rumah karena wabah Covid-19. Di masa krisis tersebut, guru menunjukkan kepemimpinan dan inovasinya agar proses pembelajaran tidak terhenti.

?Setiap 5 Oktober kita memperingati Hari Guru Sedunia. Hari yang dicanangkan untuk mengakui status dan peran penting guru. UNESCO melaporkan hampir 1,6 miliar peserta didik terdampak dari penutupan sekolah. Pandemi Covid-19 juga berdampak pada lebih dari 63 juta guru di seluruh dunia,? kata Menteri Pendidikan dan Kebudayaan (Mendikbud) Nadiem Anwar Makarim saat membuka Webinar Peringatan Hari Guru Sedunia Tingkat Nasional Tahun 2020, di Jakarta, Kamis (8/10/2020).

?Kepemimpinan para guru pada masa sulit ini, kesanggupan para guru untuk menyiapkan masa depan bagi murid-muridnya, bahkan bagi murid-murid yang termasuk pada kelompok yang rentan, patut kita berikan penghargaan yang setinggi-tingginya. Terima kasih saya yang tak terhingga bagi ibu dan bapak guru yang telah mengorbankan waktu, tenaga, bahkan bagian dari hidupnya sendiri demi para murid,? tutur Mendikbud Nadiem Makarim.

Baca selengkapnya di Tribunnews.com

#Kemendikbud #Dikbud #Kemdikbud #Nadiem #NadiemMakarim #Mendikbud #HariGuruSedunia #HariGuru #TribunAds","Tribun ibunNetwork njangkau ndonesia Tribunnews.com Hari Guru Sedunia 2020, Mendikbud Angkat Pentingnya Kepemimpinan Guru di Masa Krisis Istimewa/Kem endikbud Mendikbud dalam kesempatan tersebut mengapresiasi kiprah luar biasa para guru yang dengan segala keterbatasan, memilih untuk melanjutkan mengajar UNESCO sekolah Covid 19 #MataLokalMenjangkaulndonesia miliar peserta didik terdampak dari penutupan pada lebih dari 63 juta guru di seluruh dunia. f Tribunnews.com @tribunnews #IndonesiaTerhubung @tribunnews Tribunnews.com",,,507,4.26
Harian Kompas,hariankompas,Portal Berita,Pembelajaran Jarak Jauh,625999,2020-10-09 03:13:15 EDT,Photo,331,2,0,https://www.instagram.com/p/CGHS2k4h3I-/,https://www.instagram.com/p/CGHS2k4h3I-/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/120997416_1470228160034425_5917457811173831720_n.jpg?_nc_cat=111&ccb=3&_nc_sid=8ae9d6&_nc_ohc=HZQLp_k4PqQAX9yUyOZ&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=ab2ffa558de3c8663eb2ea33a440d868&oe=60524D81,,"Di masa pandemi Covid-19, pembelajaran jarak jauh bisa dimanfaatkan untuk meningkatkan minat baca pada anak di rumah sebagai pintu masuk membangun budaya literasi. Dengan kemampuan membaca yang bagus, literasi dasar lainnya, termasuk literasi keuangan, bisa dikembangkan.
 
Untuk membangun budaya literasi, pemerintah perlu berkolaborasi lintas kementerian atau lembaga, pegiat literasi, akademisi, dunia usaha, dan organisasi masyarakat. Kementerian Pendidikan dan Kebudayaan, melalui Gerakan Literasi Nasional, mengembangkan beberapa literasi dasar, meliputi  baca tulis, numerasi, sains, digital, finansial, budaya, dan kewargaan.
 
Demikian benang merah webinar Kompas Talks yang diadakan Harian Kompas bekerja sama dengan Prudential bertajuk ?Literasi Anak Jadi Awal Kesejahteraan Indonesia?, pada Selasa, 6 Oktober 2020 di Jakarta. Diskusi itu dihadiri Direktur Pendidikan Masyarakat dan Pendidikan Khusus Kementerian Pendidikan dan Kebudayaan Samto dan Presiden Direktur Prudential Indonesia Jens Reisch.
 
Untuk mengetahui lebih lanjut, Sahabat Kompas bisa membaca berita selengkapnya di www.kompas.id dengan judul ?Manfaatkan Masa Belajar dari Rumah dengan Membaca Buku?.
 
#KompasTalks @id_prudential",,,,333,1.02
merdeka.com,merdekadotcom,Portal Berita,Belajar Daring,362841,2020-10-16 05:10:21 EDT,Video,112,0,2548,https://www.instagram.com/p/CGZhF7FAZ9o/,https://www.instagram.com/p/CGZhF7FAZ9o/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/121458018_363324138153878_1676463925478644309_n.jpg?_nc_cat=107&ccb=3&_nc_sid=8ae9d6&_nc_ohc=v1w18x4tinYAX-JUI__&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=a8dad03efa75e8b042d12e021948bc53&oe=60547936,,"Di tengah situasi pandemi Covid-19 siswa harus menyesuaikan diri untuk belajar dari rumah. Kebutuhan akan akses internet meningkat, padahal banyak daerah yang masih kesulitan untuk mendapat internet dengan mudah dan murah. Terlebih banyak siswa di daerah yang juga tak punya perangkat elektronik memadai untuk bisa belajar secara daring.

Melihat kesulitan para siswa ini, @sekolahrelawan berinisiatif membuat program Mobile Wifi atau Wifi Berjalan. Bermodalkan kendaraan mobil dan modem, para relawan menghampiri daerah-daerah di sekitar Jabodetabek yang masih kesulitan akses internet. Mereka juga meminjamkan perangkat smartphone dan laptop bagi siswa yang tak memilikinya demi bisa belajar secara daring.

Yuk, ikuti kisah ""Berani Berubah: Mobil WIFI Penyelamat Siswa"" maupun yang lainnya dalam Program Berani Berubah, hasil kolaborasi antara SCTV, Indosiar bersama media digital Liputan6.com dan Merdeka.com.

#BERANIBERUBAH #PERUBAHANPERILAKU",? MOBILE WIF Untuk Pelajar Belajar Online,,,112,-1.82
Ruangguru | Bimbel Online No 1,ruangguru,Portal Berita,Merdeka Belajar,813399,2019-12-11 02:54:33 EST,Album,39581,499,0,https://www.instagram.com/p/B57Kt50HyHc/,https://www.instagram.com/p/B57Kt50HyHc/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/74479456_451652882127007_6412932124899937006_n.jpg?_nc_cat=105&ccb=3&_nc_sid=8ae9d6&_nc_ohc=v7D7f8Qc9a0AX_Lwd8C&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=ef93b3e3c9dd7327ba0ce4a73b13e1a3&oe=6056020E,,"Menteri Pendidikan dan Kebudayaan, Nadiem Makarim menetapkan empat program kebijakan pendidikan dengan nama ""Merdeka Belajar"" yang meliputi Ujian Sekolah Berstandar Nasional (USBN), Ujian Nasional (UN), Peraturan Penerimaan Peserta Didik Baru (PPDB) Zonasi dan Rencana Pelaksanaan Pembelajaran (RPP). Kebijakan ini merupakan tindaklanjut dari arahan Presiden dan Wakil Presiden Republik Indonesia dalam meningkatkan kualitas Sumber Daya Manusia (SDM).?
--?
Kebijakan Pendidikan ""Merdeka Belajar"" ini merupakan salah bentuk konkret pemeretaan akses dan kualitas pendidikan, maka dari itu menurut Mendikbud dibutuhkan sinergi bersama antara pemerintah pusat dan daerah dalam merealisasikan tujuan bersama ini. Bagaimana tanggapan kamu dengan kebijakan Merdeka Belajar ini? Silakan sampaikan di kolom komentar. #Rogupdate #MerdekaBelajar #Pendidikan #Mendikbud",,,,40080,13.36
Nadiem Anwar Makarim,nadiemmakarim,Official Page,Merdeka Belajar,118309,2020-11-14 06:06:20 EST,Album,12223,454,0,https://www.instagram.com/p/CHkaJJtBNvF/,https://www.instagram.com/p/CHkaJJtBNvF/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/124932818_660386387992727_8889018721701623235_n.jpg?_nc_cat=109&ccb=3&_nc_sid=8ae9d6&_nc_ohc=iM0SUWZ7M2YAX9_VFcD&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=17cf2ed1e2b05252a90904c990883f61&oe=60556DAD,,"Saya tersentuh dengan semangat penerapan Merdeka Belajar melalui konsep alam yang diterapkan di TK Lingkungan Damai Puri, Gianyar, Bali. Anak-anak belajar dan diberikan pengenalan lingkungan melalui berbagai hal yang ada di sekitar mereka. Seperti beraneka ragam jenis tanaman, yang akan memberikan begitu banyak khasiat baik di dalam hidupnya. Kegiatan belajar mengajar 90% dilakukan di luar ruang kelas tradisional, bahkan sampai ke dekat sungai, di taman dan di tengah lingkungan.

Mereka adalah sekolah Merdeka Belajar karena adanya kebebasan pembelajaran di tingkat guru dan kepala sekolahnya.#merdekabelajar",,,,12677,1.03
Nadiem Anwar Makarim,nadiemmakarim,Official Page,Merdeka Belajar,221466,2021-01-19 08:20:43 EST,Photo,7773,322,0,https://www.instagram.com/p/CKOl_NOB2P7/,https://www.instagram.com/p/CKOl_NOB2P7/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/139585641_130019442288474_3868509388441772638_n.jpg?_nc_cat=104&ccb=3&_nc_sid=8ae9d6&_nc_ohc=d2D6MklpW-sAX9C7AE5&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=52bd062e6c2b1c8f612d992162516f43&oe=60532EF7,,"Saya menghadiri Kuliah Umum ""Merdeka Belajar 2021"" dalam rangka HUT ke-51 @mediaindonesia dan menyampaikan bahwa berbagai program Merdeka Belajar terus kami lakukan meski dalam keadaan pandemi. Ini adalah upaya pemerintah mentransformasi pendidikan, terutama untuk meningkatkan kualitas pendidik dan pembelajar. Saya juga ceritakan sedikit mengenai rencana digitalisasi pendidikan yang tengah kami lakukan di @kemdikbud.ri. Semoga segala rencana bisa terlaksana dengan baik agar SDM Indonesia lebih unggul dan maju.",,,,8095,-1.96
Kemdikbud.RI,kemdikbud.ri,Official Page,Merdeka Belajar,1601968,2020-06-13 02:00:36 EDT,Photo,7050,203,0,https://www.instagram.com/p/CBXUvOTh7Gy/,https://www.instagram.com/p/CBXUvOTh7Gy/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/103929853_269366077511188_8260660948820079315_n.jpg?_nc_cat=104&ccb=3&_nc_sid=8ae9d6&_nc_ohc=4DSZ_FgAVG0AX8mnwVG&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=147a98ea4c05422a146364fdb0c7278b&oe=605501FE,,"#SahabatDikbud, Kemendikbud tengah mempersiapkan peluncuran program Guru Penggerak dengan membuka kesempatan bagi widyaiswara, guru, kepala sekolah, dan praktisi pendidikan untuk menjadi fasilitator dan pendamping calon Guru Penggerak.
.

Kemendikbud mengajak para widyaiswara untuk mendaftarkan diri sebagai fasilitator. Partisipasi guru, kepala sekolah, dan praktisi pendidikan yang memiliki pengalaman dan mempraktikan merdeka belajar juga didorong untuk mengikuti seleksi sebagai pendamping. Para partisipan tersebut akan berperan sebagai pelatih dan mentor bagi para calon Guru Penggerak.
.

Program Guru Penggerak bertujuan untuk meningkatkan kompetensi guru dan kepala sekolah mampu menciptakan ekosistem pendidikan yang berdaya dan berkomitmen dalam meningkatkan kualitas proses dan hasil belajar murid. Tahun ini, Kemendikbud akan merekrut 280 fasilitator dan 560 pendamping.
.

#SahabatDikbud, pendaftaran fasilitator akan dibuka mulai Senin, 15 Juni s.d Rabu 24 Juni 2020, sementara pendaftaran pendamping dibuka Senin, 15 Juni s.d Jumat, 26 Juni 2020. .

Yuk, akses laman sekolah.penggerak.kemdikbud.go.id/gurupenggerak/ untuk informasi kriteria, proses rekrutmen, dan pendaftaran! ????
.
#MerdekaBelajar #GuruPenggerak
.
#UnggahUlang @ditjen.gtk.kemdikbud",,,,7253,1.97
Kemdikbud.RI,kemdikbud.ri,Official Page,Merdeka Belajar,1768784,2020-08-17 10:30:37 EDT,Album,7085,66,0,https://www.instagram.com/p/CD_mxf8J3hX/,https://www.instagram.com/p/CD_mxf8J3hX/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/117672789_608992903323181_1935111535366514452_n.jpg?_nc_cat=110&ccb=2&_nc_sid=8ae9d6&_nc_ohc=swrppaR-9hcAX8_ivR_&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=8b35ad13450df2ea2af2b830c80880f7&oe=603162B4,,"#SahabatDikbud , dalam upaya menghadapi pandemi Covid-19, Kemendikbud telah menjalankan program atau kebijakan untuk aspek reformasi. Akselerasi transformasi pendidikan antara lain dilakukan dengan bergulirnya lima kebijakan Merdeka Belajar. Merdeka Belajar bercita-cita menghadirkan pendidikan bermutu tinggi bagi seluruh rakyat Indonesia. Esensi Merdeka Belajar adalah kemerdekaan berpikir. Dalam implementasinya, sekolah, kampus, murid, mahasiswa, guru, dan dosen memiliki kebebasan untuk berinovasi, belajar dengan mandiri, dan kreatif.
.

Sejalan dengan amanat Presiden RI, pemajuan kebudayaan sebagai benteng ketahanan bangsa dilakukan dengan tetap merangkul segenap masyarakat, agar semakin tangguh dan mampu bangkit dalam situasi apapun. Dalam hal ini, Kemendikbud tidak hanya mendorong pelestarian budaya tradisi, tetapi juga memajukannya dengan cara menghidupkan interaksi antarbudaya untuk memperkaya keanekaragaman yang menyejahterakan, mencerdaskan, dan mendamaikan.
.

Simak infografik berikut untuk mengetahui program atau kebijakan apa saja dalam capaian kinerja Kemendikbud selama 8 bulan di tahun 2020 ini ??.
.

#BangkitUntukIndonesiaMaju #IndonesiaMaju #CapaianKinerja #CapaianKinerjaKemendikbud",,,,7151,-1.01
Nadiem Anwar Makarim,nadiemmakarim,Official Page,Merdeka Belajar,213435,2021-01-05 08:59:08 EST,IGTV,4578,516,36717,https://www.instagram.com/tv/CJqle_FhsLX/,https://www.instagram.com/tv/CJqle_FhsLX/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/135707800_727549124560386_7253018221628482690_n.jpg?_nc_cat=103&ccb=3&_nc_sid=8ae9d6&_nc_ohc=W8rkmFvE3zIAX_rGx2a&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=0a69252d711a94c5722e7856b8d62669&oe=6055A24F,Kaleidoskop Capaian Kemendikbud 2020,"Kita sudah melewati tahun 2020 dengan penuh tantangan. Kami di @kemdikbud.ri juga tertantang untuk selalu bekerja keras menangani hambatan pendidikan karena pandemi, sementara di waktu bersamaan juga melakukan transformasi pendidikan Indonesia.

Enam episode Merdeka Belajar sudah diluncurkan untuk pendidikan dasar dan menengah, pendidikan tinggi, dana BOS dan penguatan kompetensi guru. Di tahun 2021 ini fokus Kemendikbud adalah melanjutkan transformasi Merdeka Belajar untuk memastikan pendidikan berkualitas bagi seluruh rakyat Indonesia. Terima kasih kepada seluruh pihak yang terus mendukung dan memberikan masukan terhadap upaya transformasi pendidikan dan pemajuan kebudayaan Indonesia.",#NAME?,,,5094,-1.37
