Account,User Name,Page Category,Content,Followers at Posting,Created,Type,Likes,Comments,Views,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Total Interactions,Overperforming Score (weighted  ?  Likes 1x Comments 1x )
Nadiem Anwar Makarim,nadiemmakarim,Official Page,Merdeka Belajar,118309,2020-11-14 06:06:20 EST,Album,12223,454,0,https://www.instagram.com/p/CHkaJJtBNvF/,https://www.instagram.com/p/CHkaJJtBNvF/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/124932818_660386387992727_8889018721701623235_n.jpg?_nc_cat=109&ccb=3&_nc_sid=8ae9d6&_nc_ohc=iM0SUWZ7M2YAX9_VFcD&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=17cf2ed1e2b05252a90904c990883f61&oe=60556DAD,,"Saya tersentuh dengan semangat penerapan Merdeka Belajar melalui konsep alam yang diterapkan di TK Lingkungan Damai Puri, Gianyar, Bali. Anak-anak belajar dan diberikan pengenalan lingkungan melalui berbagai hal yang ada di sekitar mereka. Seperti beraneka ragam jenis tanaman, yang akan memberikan begitu banyak khasiat baik di dalam hidupnya. Kegiatan belajar mengajar 90% dilakukan di luar ruang kelas tradisional, bahkan sampai ke dekat sungai, di taman dan di tengah lingkungan.

Mereka adalah sekolah Merdeka Belajar karena adanya kebebasan pembelajaran di tingkat guru dan kepala sekolahnya.#merdekabelajar",,,,12677,1.03
Nadiem Anwar Makarim,nadiemmakarim,Official Page,Merdeka Belajar,221466,2021-01-19 08:20:43 EST,Photo,7773,322,0,https://www.instagram.com/p/CKOl_NOB2P7/,https://www.instagram.com/p/CKOl_NOB2P7/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/139585641_130019442288474_3868509388441772638_n.jpg?_nc_cat=104&ccb=3&_nc_sid=8ae9d6&_nc_ohc=d2D6MklpW-sAX9C7AE5&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=52bd062e6c2b1c8f612d992162516f43&oe=60532EF7,,"Saya menghadiri Kuliah Umum ""Merdeka Belajar 2021"" dalam rangka HUT ke-51 @mediaindonesia dan menyampaikan bahwa berbagai program Merdeka Belajar terus kami lakukan meski dalam keadaan pandemi. Ini adalah upaya pemerintah mentransformasi pendidikan, terutama untuk meningkatkan kualitas pendidik dan pembelajar. Saya juga ceritakan sedikit mengenai rencana digitalisasi pendidikan yang tengah kami lakukan di @kemdikbud.ri. Semoga segala rencana bisa terlaksana dengan baik agar SDM Indonesia lebih unggul dan maju.",,,,8095,-1.96
Kemdikbud.RI,kemdikbud.ri,Official Page,Merdeka Belajar,1601968,2020-06-13 02:00:36 EDT,Photo,7050,203,0,https://www.instagram.com/p/CBXUvOTh7Gy/,https://www.instagram.com/p/CBXUvOTh7Gy/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/103929853_269366077511188_8260660948820079315_n.jpg?_nc_cat=104&ccb=3&_nc_sid=8ae9d6&_nc_ohc=4DSZ_FgAVG0AX8mnwVG&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=147a98ea4c05422a146364fdb0c7278b&oe=605501FE,,"#SahabatDikbud, Kemendikbud tengah mempersiapkan peluncuran program Guru Penggerak dengan membuka kesempatan bagi widyaiswara, guru, kepala sekolah, dan praktisi pendidikan untuk menjadi fasilitator dan pendamping calon Guru Penggerak.
.

Kemendikbud mengajak para widyaiswara untuk mendaftarkan diri sebagai fasilitator. Partisipasi guru, kepala sekolah, dan praktisi pendidikan yang memiliki pengalaman dan mempraktikan merdeka belajar juga didorong untuk mengikuti seleksi sebagai pendamping. Para partisipan tersebut akan berperan sebagai pelatih dan mentor bagi para calon Guru Penggerak.
.

Program Guru Penggerak bertujuan untuk meningkatkan kompetensi guru dan kepala sekolah mampu menciptakan ekosistem pendidikan yang berdaya dan berkomitmen dalam meningkatkan kualitas proses dan hasil belajar murid. Tahun ini, Kemendikbud akan merekrut 280 fasilitator dan 560 pendamping.
.

#SahabatDikbud, pendaftaran fasilitator akan dibuka mulai Senin, 15 Juni s.d Rabu 24 Juni 2020, sementara pendaftaran pendamping dibuka Senin, 15 Juni s.d Jumat, 26 Juni 2020. .

Yuk, akses laman sekolah.penggerak.kemdikbud.go.id/gurupenggerak/ untuk informasi kriteria, proses rekrutmen, dan pendaftaran! ????
.
#MerdekaBelajar #GuruPenggerak
.
#UnggahUlang @ditjen.gtk.kemdikbud",,,,7253,1.97
Kemdikbud.RI,kemdikbud.ri,Official Page,Merdeka Belajar,1768784,2020-08-17 10:30:37 EDT,Album,7085,66,0,https://www.instagram.com/p/CD_mxf8J3hX/,https://www.instagram.com/p/CD_mxf8J3hX/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/117672789_608992903323181_1935111535366514452_n.jpg?_nc_cat=110&ccb=2&_nc_sid=8ae9d6&_nc_ohc=swrppaR-9hcAX8_ivR_&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=8b35ad13450df2ea2af2b830c80880f7&oe=603162B4,,"#SahabatDikbud , dalam upaya menghadapi pandemi Covid-19, Kemendikbud telah menjalankan program atau kebijakan untuk aspek reformasi. Akselerasi transformasi pendidikan antara lain dilakukan dengan bergulirnya lima kebijakan Merdeka Belajar. Merdeka Belajar bercita-cita menghadirkan pendidikan bermutu tinggi bagi seluruh rakyat Indonesia. Esensi Merdeka Belajar adalah kemerdekaan berpikir. Dalam implementasinya, sekolah, kampus, murid, mahasiswa, guru, dan dosen memiliki kebebasan untuk berinovasi, belajar dengan mandiri, dan kreatif.
.

Sejalan dengan amanat Presiden RI, pemajuan kebudayaan sebagai benteng ketahanan bangsa dilakukan dengan tetap merangkul segenap masyarakat, agar semakin tangguh dan mampu bangkit dalam situasi apapun. Dalam hal ini, Kemendikbud tidak hanya mendorong pelestarian budaya tradisi, tetapi juga memajukannya dengan cara menghidupkan interaksi antarbudaya untuk memperkaya keanekaragaman yang menyejahterakan, mencerdaskan, dan mendamaikan.
.

Simak infografik berikut untuk mengetahui program atau kebijakan apa saja dalam capaian kinerja Kemendikbud selama 8 bulan di tahun 2020 ini ??.
.

#BangkitUntukIndonesiaMaju #IndonesiaMaju #CapaianKinerja #CapaianKinerjaKemendikbud",,,,7151,-1.01
Nadiem Anwar Makarim,nadiemmakarim,Official Page,Merdeka Belajar,213435,2021-01-05 08:59:08 EST,IGTV,4578,516,36717,https://www.instagram.com/tv/CJqle_FhsLX/,https://www.instagram.com/tv/CJqle_FhsLX/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/135707800_727549124560386_7253018221628482690_n.jpg?_nc_cat=103&ccb=3&_nc_sid=8ae9d6&_nc_ohc=W8rkmFvE3zIAX_rGx2a&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=0a69252d711a94c5722e7856b8d62669&oe=6055A24F,Kaleidoskop Capaian Kemendikbud 2020,"Kita sudah melewati tahun 2020 dengan penuh tantangan. Kami di @kemdikbud.ri juga tertantang untuk selalu bekerja keras menangani hambatan pendidikan karena pandemi, sementara di waktu bersamaan juga melakukan transformasi pendidikan Indonesia.

Enam episode Merdeka Belajar sudah diluncurkan untuk pendidikan dasar dan menengah, pendidikan tinggi, dana BOS dan penguatan kompetensi guru. Di tahun 2021 ini fokus Kemendikbud adalah melanjutkan transformasi Merdeka Belajar untuk memastikan pendidikan berkualitas bagi seluruh rakyat Indonesia. Terima kasih kepada seluruh pihak yang terus mendukung dan memberikan masukan terhadap upaya transformasi pendidikan dan pemajuan kebudayaan Indonesia.",#NAME?,,,5094,-1.37
Kemdikbud.RI,kemdikbud.ri,Official Page,Merdeka Belajar,1940565,2020-10-15 06:48:21 EDT,Photo,4325,58,0,https://www.instagram.com/p/CGXIPMaBQeF/,https://www.instagram.com/p/CGXIPMaBQeF/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/121446919_177048044039839_1980913875812831706_n.jpg?_nc_cat=109&ccb=3&_nc_sid=8ae9d6&_nc_ohc=dMDwqq-91mAAX_g_ZJM&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=ec72fbc3fa50f9dd0ddac5bb10a2a260&oe=6054151C,,"#SahabatDikbud, Kemendikbud bekerja sama dengan Kementerian Agama @kemenag_ri , Satuan Tugas Covid-19 dan UNICEF @unicef , kembali menyelenggarakan Apresiasi Berbagi Praktik Baik Pembelajaran di Era Pandemi pada satuan pendidikan. 
.
Untuk informasi selengkapkapnya dapat #SahabatDikbud lihat pada tautan http://ringkas.kemdikbud.go.id/apresiasipraktikbaik , ya! ??
.
#MerdekaBelajar #BersamaHadapiKorona #BelajarDariRumah #BerprestasiDariRumah",unicef untuk setiap anak SERU BELAJAR KEBIASAAN BARU APRESIASI BERBAGI PRAKTIK BAIK PEMBELAJARAN DI ERA PANDEMI WAKTU PELAKSANAAN 14 Oktober 13 November 2020 KATEGORI Kategori pembelajaran muka dalam bentuk video Kategori pembelajaran tatap muka dalam bentuk Kategori belajar dari rumah bentuk video INFORMASI LEBIH LANJUT Kategori belajar dari rumah bentu foto #Merdeka Belajar Rumah #BersamaHadapiKorona #SeruBelajarKebiasaanBaru BANGGABUATAN BUATAN INDONESIA,,,4383,1
Nadiem Anwar Makarim,nadiemmakarim,Official Page,Merdeka Belajar,221419,2021-01-22 01:08:42 EST,IGTV,3509,460,37542,https://www.instagram.com/tv/CKVa-kThcUQ/,https://www.instagram.com/tv/CKVa-kThcUQ/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/140335960_1047770365726504_5487552484717016334_n.jpg?_nc_cat=101&ccb=2&_nc_sid=8ae9d6&_nc_ohc=Q_zmTJR6xlMAX8sFXus&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=4ca6ff010e7fea91bde485b9a598a4d8&oe=6030F13C,"Kuliah Umum ""Merdeka Belajar 2021"" @metrotv","Ada banyak program yang akan dilaksanakan @kemdikbud.ri di tahun 2021 ini. Di antaranya mengakselerasi program digitalisasi sekolah, Kampus Merdeka, Asesmen Nasional, transformasi pembiayaan pendidikan, Sekolah Penggerak, Guru Penggerak, dan pusat keunggulan Vokasi dan SMK. 

Saatnya keluar dari zona nyaman, bergerak menuju perubahan dengan melakukan berbagai inovasi. Saya berharap kita bisa terus bekerja sama demi kemajuan pendidikan Indonesia.",IVUESI MERDEKA BELAJAR 2021,,,3969,-1.76
Kemdikbud.RI,kemdikbud.ri,Official Page,Merdeka Belajar,2139843,2021-01-31 05:01:02 EST,Photo,3335,23,0,https://www.instagram.com/p/CKtIrJYFTI9/,https://www.instagram.com/p/CKtIrJYFTI9/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/143798653_236220904760496_7367781470308962387_n.jpg?_nc_cat=104&ccb=2&_nc_sid=8ae9d6&_nc_ohc=DnT_r6iS0IEAX_MpYix&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=5bb0269bf5640d9d5867314601759e2c&oe=603DBBD5,,"#SahabatDikbud, Kementerian Pendidikan dan Kebudayaan akan meluncurkan Merdeka Belajar Episode 7: Program Sekolah Penggerak, Senin, 1 Februari 2021.

Program ini diluncurkan sebagai upaya untuk melaksanakan visi pendidikan Indonesia, yaitu mewujudkan Indonesia maju yang berdaulat, mandiri, dan berkepribadian melalui terciptanya Pelajar Pancasila.

Program Sekolah Penggerak berfokus pada pengembangan hasil belajar siswa secara holistik yang mencakup kompetensi (literasi dan numerasi) dan karakter, diawali dengan SDM yang unggul (kepala sekolah dan guru). Program Sekolah Penggerak merupakan penyempurnaan program transformasi sekolah sebelumnya. 

Program ini akan mengakselerasi sekolah negeri/swasta di seluruh kondisi sekolah untuk bergerak 1-2 tahap lebih maju. Program dilakukan bertahap dan  terintegrasi dengan ekosistem hingga seluruh sekolah di Indonesia menjadi Sekolah Penggerak.

Saksikan siaran langsung peluncuran Merdeka Belajar Episode 7: Program Sekolah Penggerak, Senin, 1 Februari 2021, pukul 13.30 WIB di kanal YouTube KEMENDIKBUD RI! 

#MerdekaBelajarEpisode7
#SekolahPenggerak
#MerdekaBelajar",kemdikbud.go.id Merdeka Belajar Episode 7 PROGRAM SEKOLAH PENGGERAK SEKOLAH PENGGEF Kemdikbud.RI Kemdikbud_R kemdikbud.ri KEMENDIKBUDR kemdikbudr,,,3358,-1.02
Ditjen Dikti,ditjen.dikti,Official Page,Merdeka Belajar,248482,2020-10-19 08:18:53 EDT,Album,2906,68,0,https://www.instagram.com/p/CGhlx0VlSvt/,https://www.instagram.com/p/CGhlx0VlSvt/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/121787140_2796851070594758_4867927288219222223_n.jpg?_nc_cat=111&ccb=3&_nc_sid=8ae9d6&_nc_ohc=EQAR_HfSPyoAX-5v7VU&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=e2cb9d033611620ac090a25f6ef4e90d&oe=60548400,,"Halo, #InsanDikti

Sudahkah mendengar tentang Merdeka Belajar-Kampus Merdeka (MBKM)? 
Adakah yang mengetahui program seperti apa saja yang ditawarkan oleh Kampus Merdeka bagi mahasiswa?

Mari simak 8 bentuk kegiatan pembelajaran dalam Kampus Merdeka melalui informasi di atas!

#DitjenDikti
#Kemendikbud
#PendidikanTinggi
#KampusMerdekaIndonesiaJaya
#DiktiSIGAPMelayani",,,,2974,1.58
Ditjen GTK Kemdikbud RI,ditjen.gtk.kemdikbud,Official Page,Merdeka Belajar,131528,2021-01-29 04:05:07 EST,Photo,2629,50,0,https://www.instagram.com/p/CKn4r4RFKuV/,https://www.instagram.com/p/CKn4r4RFKuV/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/144497462_416280969589834_6353848778657837899_n.jpg?_nc_cat=107&ccb=2&_nc_sid=8ae9d6&_nc_ohc=Fm88kpck1UgAX8F77dM&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=9b9b1ce535ec4c9cb281e9ddc2a5430a&oe=603BE588,,"Pada rapat panitia kerja (panja) peta jalan pendidikan dengan Komisi X DPR RI, @dirjen_gtk Iwan Syahril memberikan paparan terkait Merdeka Belajar: Sistem Pendidikan untuk Membangun Kompetensi Utama.

Dirjen GTK Kemendikbud, Iwan Syahril mengutarakan visi dari Merdeka Belajar yakni guru-guru tak hanya menerima instruksi, tapi lebih berdaya terkait inovasi dan kreativitas.

?Melihat kurikulum sebagai bukan benda mati yang harus kemudian diimplementasikan secara letter lux, tapi harus menjadi pemilik dari kurikulum itu sendiri dan pengembang dari kurikulum itu sendiri,? kata Iwan Syahril terkait arahan Merdeka Belajar bagi guru.

?Bahwa guru sebagai fasilitator, karena pengetahuan sebenarnya ada dimana-mana saat ini, jadi bagaimana mengelola ini adalah hal yang terpenting,? lanjut Iwan.

Mas Dirjen melanjutkan terkait perlunya peningkatan kompetensi guru yang berbasis pada praktik.

?Lalu kemudian bagaimana guru terus meningkatkan kompetensi dan memiliki purpose, memiliki tujuan sebagai profesi,? tutur Dirjen GTK Kemendikbud Iwan Syahril di Jakarta, Rabu (27/1/2021). 

?Untuk menentukan kualitas pengajaran, pelatihan-pelatihan guru harus berbasis sekolah, berbasis pada praktik, jangan jauh dari apa yang terjadi di sekolah,? tambah Iwan.

@kemdikbud.ri

#MerdekaBelajar #DirjenGTK #IwanSyahril #BerpihakpadaAnak #BerpusatpadaMurid  #DitjenGTK #Guru #TenagaKependidikan  #GTK #SahabatGuTendik",301 ? MERDEKA BELAJAR SISTEM PENDIDIKAN UNTUK MEMBANGUN KOMPETENSI UTAMA GURU Situasi Sekarang Guru sebagai pelaksana kurikulum Arahan Di Masa Depan Guru sebagai sumber pengetahuan satu-satunya Guru sebagai pemilik dan pembuat kurikulum Kualifikasi sebagai penentu kualitas Guru sebagai fasilitator dari berbagai sumber pengetahuan Pelatihan guru berdasarkan teori Kompetensi dan tujuan sebagai penentu kualitas pengajaran Kinerja guru dinilai berdasarkan daftar persyaratan/administratif Pelatihan guru berdasarkan praktik GTK_KEMDIKBUD Kinerja guru dinilai secara holistik Ayo- Pakai Maskero HTTP://GT DITJEN.GTK.KEMDIKBUD DITJEN GTK KEMDIKBUD RI DITJEN GTK KEMDIKBUD,,,2679,3.17
